,label
0,3
1,6
2,4
3,2
4,3
5,1
6,4
7,3
8,3
9,4
10,5
11,5
12,3
13,3
14,1
15,0
16,1
17,5
18,1
19,4
20,1
21,0
22,7
23,2
24,0
25,5
26,0
27,0
28,2
29,2
30,6
31,5
32,6
33,5
34,3
35,6
36,1
37,5
38,1
39,6
40,5
41,5
42,1
43,0
44,3
45,4
46,1
47,4
48,3
49,3
50,7
51,5
52,5
53,3
54,2
55,7
56,3
57,6
58,1
59,2
60,1
61,4
62,2
63,5
64,6
65,5
66,1
67,0
68,1
69,3
70,3
71,3
72,0
73,6
74,1
75,1
76,7
77,6
78,2
79,2
80,7
81,4
82,4
83,1
84,5
85,6
86,2
87,4
88,6
89,7
90,0
91,1
92,1
93,4
94,0
95,0
96,1
97,6
98,2
99,1
100,6
101,5
102,6
103,6
104,2
105,4
106,2
107,7
108,6
109,7
110,0
111,7
112,6
113,6
114,3
115,5
116,1
117,5
118,4
119,7
120,7
121,7
122,3
123,1
124,0
125,7
126,5
127,7
128,7
129,0
130,1
131,1
132,4
133,5
134,3
135,5
136,4
137,2
138,7
139,7
140,7
141,2
142,6
143,1
144,7
145,6
146,1
147,1
148,3
149,5
150,0
151,7
152,3
153,5
154,0
155,7
156,6
157,7
158,1
159,7
160,0
161,1
162,7
163,3
164,0
165,2
166,3
167,0
168,2
169,6
170,5
171,4
172,4
173,2
174,2
175,4
176,4
177,2
178,7
179,1
180,7
181,2
182,5
183,2
184,1
185,2
186,1
187,3
188,3
189,5
190,3
191,4
192,0
193,5
194,5
195,5
196,3
197,4
198,5
199,6
200,0
201,2
202,1
203,4
204,3
205,5
206,6
207,5
208,7
209,4
210,0
211,7
212,5
213,0
214,7
215,7
216,1
217,5
218,0
219,6
220,2
221,2
222,5
223,2
224,6
225,4
226,5
227,1
228,1
229,2
230,5
231,5
232,1
233,2
234,3
235,6
236,4
237,6
238,0
239,4
240,2
241,1
242,5
243,0
244,4
245,2
246,5
247,4
248,0
249,4
250,4
251,6
252,2
253,6
254,5
255,5
256,1
257,1
258,1
259,5
260,1
261,2
262,0
263,5
264,1
265,1
266,3
267,4
268,1
269,0
270,5
271,5
272,1
273,5
274,1
275,0
276,6
277,5
278,2
279,0
280,7
281,2
282,0
283,7
284,6
285,1
286,5
287,7
288,2
289,5
290,1
291,3
292,6
293,7
294,4
295,7
296,1
297,4
298,5
299,7
300,3
301,0
302,3
303,2
304,3
305,5
306,0
307,4
308,0
309,1
310,1
311,7
312,3
313,5
314,7
315,1
316,3
317,7
318,5
319,1
320,7
321,3
322,2
323,5
324,0
325,2
326,0
327,3
328,6
329,5
330,7
331,7
332,0
333,3
334,2
335,7
336,2
337,6
338,4
339,1
340,4
341,0
342,1
343,7
344,6
345,5
346,6
347,7
348,0
349,2
350,2
351,3
352,7
353,3
354,2
355,5
356,2
357,0
358,5
359,5
360,0
361,5
362,7
363,2
364,1
365,7
366,5
367,3
368,7
369,0
370,5
371,2
372,2
373,1
374,7
375,3
376,1
377,5
378,6
379,1
380,3
381,1
382,2
383,4
384,2
385,1
386,6
387,0
388,3
389,6
390,0
391,6
392,3
393,7
394,2
395,2
396,2
397,4
398,7
399,4
400,7
401,4
402,3
403,3
404,0
405,4
406,1
407,4
408,2
409,2
410,0
411,7
412,6
413,1
414,6
415,3
416,5
417,6
418,0
419,6
420,1
421,4
422,0
423,5
424,7
425,2
426,6
427,4
428,2
429,4
430,2
431,7
432,5
433,0
434,4
435,3
436,4
437,5
438,7
439,0
440,0
441,4
442,2
443,6
444,0
445,0
446,1
447,2
448,7
449,3
450,1
451,3
452,4
453,2
454,7
455,1
456,4
457,6
458,2
459,6
460,6
461,5
462,0
463,1
464,3
465,3
466,7
467,3
468,5
469,2
470,2
471,2
472,2
473,3
474,5
475,4
476,7
477,0
478,3
479,6
480,1
481,4
482,2
483,7
484,2
485,3
486,3
487,1
488,0
489,1
490,4
491,4
492,3
493,3
494,2
495,6
496,0
497,0
498,5
499,5
500,2
501,5
502,4
503,5
504,0
505,2
506,2
507,1
508,0
509,6
510,1
511,6
512,4
513,4
514,5
515,2
516,6
517,5
518,2
519,2
520,5
521,0
522,7
523,0
524,7
525,4
526,1
527,4
528,0
529,2
530,6
531,2
532,5
533,7
534,6
535,7
536,3
537,3
538,7
539,5
540,6
541,7
542,3
543,7
544,3
545,0
546,5
547,4
548,0
549,0
550,5
551,6
552,7
553,3
554,5
555,6
556,6
557,3
558,6
559,2
560,2
561,7
562,0
563,4
564,0
565,1
566,6
567,5
568,5
569,7
570,2
571,7
572,7
573,1
574,4
575,7
576,5
577,4
578,0
579,6
580,1
581,5
582,6
583,5
584,6
585,7
586,7
587,3
588,0
589,3
590,4
591,6
592,7
593,4
594,6
595,7
596,7
597,2
598,3
599,1
600,6
601,7
602,6
603,3
604,1
605,7
606,1
607,0
608,6
609,5
610,7
611,5
612,0
613,5
614,5
615,4
616,4
617,1
618,0
619,0
620,0
621,4
622,3
623,3
624,6
625,4
626,1
627,6
628,1
629,1
630,0
631,1
632,5
633,1
634,1
635,3
636,6
637,0
638,3
639,1
640,1
641,5
642,5
643,6
644,7
645,4
646,7
647,1
648,3
649,7
650,2
651,5
652,0
653,1
654,6
655,4
656,3
657,7
658,2
659,1
660,3
661,0
662,2
663,6
664,5
665,4
666,6
667,3
668,7
669,7
670,0
671,0
672,2
673,1
674,0
675,1
676,2
677,1
678,4
679,4
680,7
681,4
682,3
683,2
684,2
685,7
686,2
687,0
688,7
689,6
690,0
691,2
692,4
693,1
694,3
695,0
696,5
697,3
698,1
699,4
700,6
701,4
702,5
703,5
704,6
705,3
706,0
707,6
708,2
709,0
710,6
711,4
712,1
713,3
714,1
715,4
716,1
717,1
718,4
719,3
720,1
721,4
722,7
723,0
724,3
725,3
726,1
727,3
728,5
729,2
730,7
731,4
732,0
733,0
734,5
735,1
736,6
737,4
738,4
739,2
740,3
741,3
742,0
743,3
744,0
745,5
746,6
747,2
748,4
749,6
750,1
751,1
752,7
753,4
754,4
755,0
756,2
757,1
758,7
759,6
760,4
761,6
762,1
763,2
764,1
765,7
766,6
767,2
768,0
769,6
770,5
771,0
772,2
773,3
774,0
775,4
776,5
777,5
778,6
779,6
780,3
781,4
782,5
783,5
784,4
785,2
786,7
787,2
788,3
789,3
790,0
791,5
792,0
793,6
794,1
795,7
796,6
797,6
798,6
799,1
800,7
801,4
802,4
803,5
804,2
805,7
806,2
807,6
808,6
809,1
810,7
811,2
812,6
813,3
814,1
815,2
816,7
817,0
818,3
819,7
820,1
821,4
822,5
823,3
824,5
825,2
826,4
827,7
828,3
829,1
830,7
831,5
832,2
833,4
834,4
835,5
836,1
837,6
838,1
839,1
840,0
841,5
842,4
843,6
844,0
845,5
846,3
847,6
848,6
849,0
850,2
851,4
852,0
853,5
854,0
855,1
856,1
857,1
858,6
859,2
860,4
861,7
862,3
863,0
864,2
865,5
866,5
867,3
868,6
869,6
870,0
871,1
872,6
873,5
874,0
875,3
876,4
877,3
878,5
879,2
880,2
881,5
882,0
883,0
884,7
885,1
886,7
887,6
888,1
889,3
890,4
891,3
892,7
893,4
894,1
895,1
896,5
897,4
898,0
899,0
900,2
901,5
902,0
903,0
904,3
905,7
906,6
907,7
908,4
909,3
910,0
911,6
912,1
913,6
914,3
915,5
916,1
917,4
918,6
919,5
920,5
921,0
922,5
923,4
924,1
925,5
926,2
927,2
928,3
929,1
930,1
931,6
932,6
933,5
934,4
935,4
936,5
937,7
938,2
939,0
940,1
941,7
942,4
943,6
944,2
945,3
946,6
947,2
948,1
949,6
950,1
951,5
952,5
953,0
954,4
955,3
956,6
957,3
958,6
959,4
960,4
961,1
962,7
963,7
964,4
965,0
966,7
967,2
968,2
969,4
970,1
971,2
972,5
973,1
974,7
975,7
976,6
977,6
978,4
979,4
980,6
981,3
982,0
983,7
984,7
985,2
986,0
987,2
988,1
989,5
990,5
991,0
992,4
993,5
994,6
995,3
996,1
997,6
998,3
999,6
1000,5
1001,3
1002,1
1003,6
1004,4
1005,5
1006,3
1007,7
1008,6
1009,6
1010,3
1011,3
1012,2
1013,7
1014,3
1015,4
1016,5
1017,6
1018,6
1019,5
1020,5
1021,1
1022,0
1023,7
1024,5
1025,1
1026,1
1027,2
1028,4
1029,6
1030,2
1031,3
1032,2
1033,2
1034,1
1035,7
1036,1
1037,7
1038,4
1039,7
1040,4
1041,2
1042,7
1043,1
1044,2
1045,3
1046,1
1047,0
1048,6
1049,2
1050,0
1051,2
1052,6
1053,6
1054,4
1055,5
1056,4
1057,4
1058,6
1059,2
1060,7
1061,4
1062,2
1063,4
1064,2
1065,6
1066,4
1067,0
1068,4
1069,5
1070,3
1071,1
1072,3
1073,5
1074,3
1075,0
1076,6
1077,0
1078,7
1079,3
1080,6
1081,6
1082,5
1083,3
1084,1
1085,2
1086,3
1087,1
1088,3
1089,7
1090,7
1091,5
1092,1
1093,3
1094,3
1095,1
1096,4
1097,4
1098,0
1099,5
1100,4
1101,5
1102,2
1103,4
1104,0
1105,0
1106,2
1107,7
1108,2
1109,7
1110,6
1111,7
1112,1
1113,5
1114,2
1115,7
1116,1
1117,2
1118,6
1119,5
1120,7
1121,2
1122,7
1123,0
1124,6
1125,4
1126,1
1127,4
1128,6
1129,4
1130,4
1131,6
1132,6
1133,7
1134,1
1135,7
1136,3
1137,7
1138,7
1139,4
1140,7
1141,6
1142,3
