,c
0,0.7892
1,0.8596
2,1.0014
3,1.0005
4,0.77427
5,1.0009
6,1.0005
7,0.8891399999999999
8,0.8687799999999999
9,0.99823
10,0.95001
11,0.85772
12,0.81907
13,0.85406
14,0.9984700000000001
15,0.99825
16,1.0011
17,0.80483
18,0.99984
19,0.9990899999999999
20,0.99874
21,0.99913
22,0.9535299999999999
23,0.9996799999999999
24,1.0007
25,0.8940600000000001
26,0.9996
27,0.99949
28,0.99959
29,1.0002
30,0.86539
31,0.79597
32,0.78275
33,0.8049
34,0.8107800000000001
35,0.7631100000000001
36,1.0006
37,0.7847
38,1.0
39,0.80076
40,0.86065
41,0.8910100000000001
42,1.0012
43,1.0
44,0.80816
45,1.0007
46,1.0002
47,0.99935
48,0.78095
49,0.75131
50,0.84419
51,0.83745
52,0.78908
53,0.86551
54,1.0014
55,0.9112100000000001
56,0.75015
57,0.8079
58,0.9994700000000001
59,0.9997799999999999
60,1.0002
61,0.99979
62,1.0006
63,0.90797
64,0.85859
65,0.83106
66,1.0002
67,1.0001
68,0.9987299999999999
69,0.84119
70,0.94409
71,0.9271299999999999
72,0.9994
73,0.86949
74,1.0014
75,1.001
76,0.93084
77,0.7494
78,1.0007
79,0.9995
80,0.84109
81,0.99854
82,1.0019
83,0.9985799999999999
84,0.84052
85,0.9294
86,0.99987
87,1.0015
88,0.8648100000000001
89,0.9365
90,1.0005
91,1.0003
92,0.9987799999999999
93,0.99808
94,0.99964
95,0.99834
96,1.0009
97,0.86372
98,1.0003
99,0.99934
100,0.87084
101,0.8914799999999999
102,0.87929
103,0.9112100000000001
104,1.0019
105,1.001
106,1.0007
107,0.86406
108,0.8679600000000001
109,0.8067
110,1.0008
111,0.91617
112,0.84475
113,0.84421
114,0.86459
115,0.88134
116,0.9991700000000001
117,0.87198
118,0.9988100000000001
119,0.93545
120,0.9706600000000001
121,0.83605
122,0.83616
123,0.99935
124,1.0007
125,0.86539
126,0.8279799999999999
127,0.76367
128,0.8311
129,1.0002
130,0.9970700000000001
131,1.0015
132,0.99966
133,0.8267399999999999
134,0.74512
135,0.87356
136,1.0006
137,1.0016
138,0.8385
139,0.89807
140,0.84877
141,1.0011
142,0.90297
143,0.99998
144,0.8650700000000001
145,0.9123100000000001
146,0.99844
147,1.0008
148,0.9103899999999999
149,0.8534
150,0.9993299999999999
151,0.8866
152,0.88825
153,0.8591200000000001
154,1.0003
155,0.91579
156,0.76727
157,0.8684799999999999
158,0.99898
159,0.8783299999999999
160,1.0016
161,1.0005
162,0.87981
163,0.80566
164,1.001
165,0.9999
166,0.8610899999999999
167,1.0005
168,0.9989899999999999
169,0.8968200000000001
170,0.8814700000000001
171,0.99934
172,1.0002
173,0.9999899999999999
174,0.99971
175,0.99898
176,1.0012
177,1.0018
178,0.88015
179,1.0009
180,0.81884
181,1.0011
182,0.9016
183,0.9999100000000001
184,0.9997
185,1.001
186,0.99874
187,0.85419
188,0.88131
189,0.76349
190,0.74475
191,1.0003
192,1.0005
193,0.8501200000000001
194,0.89041
195,0.91571
196,0.79435
197,0.99998
198,0.8649899999999999
199,0.8905799999999999
200,0.99925
201,1.0
202,1.0012
203,0.9996700000000001
204,0.79932
205,0.87969
206,0.9000799999999999
207,0.8064600000000001
208,0.8391200000000001
209,0.99824
210,1.0009
211,0.85335
212,0.8824299999999999
213,1.0007
214,0.8338
215,0.79799
216,0.99951
217,0.85124
218,1.0007
219,0.8426299999999999
220,1.0006
221,1.0003
222,0.75389
223,1.0007
224,0.9231799999999999
225,1.0001
226,0.81714
227,0.99936
228,0.9988
229,1.0017
230,0.82383
231,0.81023
232,0.99951
233,1.0012
234,0.8815299999999999
235,0.7914399999999999
236,1.0014
237,0.81291
238,1.0007
239,1.0016
240,1.0005
241,1.0007
242,0.8125399999999999
243,1.0002
244,0.99972
245,0.9996700000000001
246,0.95857
247,1.0003
248,1.0001
249,0.99956
250,0.99995
251,0.87103
252,1.0003
253,0.87689
254,0.90807
255,0.86685
256,0.9999100000000001
257,0.9999100000000001
258,1.0002
259,0.78452
260,1.0007
261,0.99931
262,1.0023
263,0.84496
264,1.0014
265,1.0005
266,0.80534
267,1.0022
268,1.0009
269,0.9993299999999999
270,0.8704
271,0.79582
272,0.99885
273,0.84719
274,1.0006
275,1.0009
276,0.8427100000000001
277,0.79835
278,0.9984299999999999
279,1.0008
280,0.8969799999999999
281,0.99931
282,1.0002
283,1.0090000000000001
284,0.9125200000000001
285,0.99887
286,0.91055
287,0.88031
288,1.0004
289,0.8833
290,1.0008
291,0.8488
292,0.89426
293,0.84344
294,0.9975200000000001
295,0.85619
296,1.0003
297,1.0021
298,0.90556
299,0.83096
300,0.8375600000000001
301,0.99975
302,0.8668
303,0.9998299999999999
304,0.8762
305,0.80516
306,1.0007
307,1.0004
308,1.0007
309,0.99839
310,1.001
311,0.86261
312,0.8518899999999999
313,0.8871399999999999
314,0.87376
315,0.9993299999999999
316,0.8165899999999999
317,0.8368399999999999
318,0.91894
319,0.9989399999999999
320,0.81588
321,0.8854700000000001
322,1.0008
323,0.80642
324,0.9996
325,0.9994299999999999
326,1.0006
327,0.8343700000000001
328,0.83991
329,0.86321
330,0.88918
331,0.8403299999999999
332,0.9993700000000001
333,0.85819
334,1.0
335,0.9389200000000001
336,1.0007
337,0.9434299999999999
338,0.99982
339,1.0007
340,0.9991399999999999
341,0.9996799999999999
342,0.9995799999999999
343,0.80718
344,0.81117
345,0.7590100000000001
346,0.74715
347,0.89604
348,1.0008
349,1.0017
350,0.9991700000000001
351,0.85846
352,0.83772
