,k
0,1.0003
1,0.7741
2,0.8376100000000001
3,0.8715200000000001
4,1.0006
5,1.0014
6,0.87766
7,1.0002
8,1.0011
9,0.8708899999999999
10,0.99885
11,1.0006
12,0.99816
13,0.99925
14,1.0015
15,0.9996700000000001
16,0.99779
17,1.001
18,0.9998799999999999
19,0.8512200000000001
20,1.001
21,1.0001
22,0.8013399999999999
23,0.83731
24,1.0004
25,1.0002
26,1.0004
27,1.0007
28,0.85774
29,0.8299799999999999
30,0.8831600000000001
31,1.0008
32,0.7673800000000001
33,0.9979
34,0.99884
35,0.83035
36,0.99954
37,1.0012
38,1.0009
39,0.86539
40,1.0003
41,1.001
42,1.0011
43,1.0007
44,1.0009
45,0.9225899999999999
46,1.0001
47,0.9956299999999999
48,0.9990399999999999
49,0.99824
50,0.86539
51,1.0013
52,0.99872
53,0.99995
54,0.8668899999999999
55,0.97862
56,0.9992700000000001
57,0.82668
58,0.99977
59,0.79156
60,0.99876
61,0.8717799999999999
62,0.82496
63,0.99936
64,0.7974899999999999
65,0.9995700000000001
66,0.9996299999999999
67,0.99941
68,1.0001
69,0.9998100000000001
70,0.9991
71,0.99949
72,1.0012
73,0.82375
74,1.001
75,1.0005
76,0.9207799999999999
77,0.80683
78,0.8507899999999999
79,0.88926
80,0.76668
81,0.80379
82,0.8604200000000001
83,0.9980700000000001
84,0.9996
85,0.8623
86,0.91556
87,0.9024
88,0.76425
89,0.88087
90,0.9986200000000001
91,1.0004
92,1.001
93,0.8857
94,1.0002
95,0.99826
96,1.0014
97,0.88371
98,0.90659
99,0.99989
100,0.87349
101,0.9989600000000001
102,0.78952
103,0.8894
104,0.82042
105,0.81279
106,0.78782
107,0.80466
108,0.8570700000000001
109,0.9529799999999999
110,0.9986799999999999
111,0.83491
112,0.8841600000000001
113,0.85606
114,1.0004
115,0.99956
116,0.99928
117,0.9993200000000001
118,0.8442
119,0.7904
120,0.86487
121,0.8398200000000001
122,1.0004
123,1.0016
124,0.99987
125,0.8907299999999999
126,0.99854
127,0.8225299999999999
128,0.82115
129,0.9983200000000001
130,1.0004
131,1.0014
132,0.8290000000000001
133,1.0002
134,0.99929
135,1.0002
136,0.9455
137,0.8185100000000001
138,0.9205700000000001
139,0.88115
140,0.8615200000000001
141,0.74263
142,0.88975
143,0.9996299999999999
144,0.81672
145,0.94821
146,1.0005
147,1.0003
148,0.99824
149,1.0002
150,0.99959
151,0.94847
152,0.99984
153,0.99931
154,1.0022
155,0.81486
156,0.9715799999999999
157,0.92495
158,0.99956
159,0.85314
160,0.99972
161,1.0006
162,0.84931
163,1.0014
164,0.9990899999999999
165,0.8559899999999999
166,0.99836
167,0.99976
168,0.8352200000000001
169,0.96119
170,0.9998600000000001
171,0.8588399999999999
172,0.8771100000000001
173,0.88705
174,0.7468899999999999
175,0.86336
176,0.79179
177,0.8468600000000001
178,0.8181
179,1.0006
180,0.8882200000000001
181,0.93376
182,0.9984
183,0.8531799999999999
184,0.9984
185,0.8368
186,0.9986200000000001
187,1.0004
188,1.0005
189,1.0007
190,0.99879
191,0.9191799999999999
192,1.002
193,1.0008
194,0.9988299999999999
195,1.0001
196,1.0003
197,0.8259299999999999
198,1.0017
199,0.85372
200,0.9990899999999999
201,0.8628899999999999
202,1.0005
203,0.79852
204,1.0008
205,0.99887
206,0.86585
