,m
0,0.9998299999999999
1,0.9991700000000001
2,0.79569
3,1.0019
4,1.0008
5,0.81507
6,0.81286
7,1.0005
8,0.99929
9,0.8891700000000001
10,0.8587299999999999
11,0.83744
12,1.0003
13,1.0018
14,0.8810899999999999
15,0.99766
16,0.80338
17,0.87659
18,0.84809
19,0.8942399999999999
20,0.78803
21,1.0012
22,0.86041
23,0.99892
24,0.99997
25,0.8472200000000001
26,0.9999600000000001
27,0.99816
28,0.99939
29,0.9990000000000001
30,1.0005
31,0.86798
32,0.99987
33,0.83406
34,0.9970700000000001
35,1.001
36,0.9219200000000001
37,0.8459
38,0.83241
39,1.0014
40,0.8472700000000001
41,0.8482
42,0.87345
43,1.0008
44,1.001
45,0.92711
46,0.72218
47,0.80099
48,1.0004
49,1.0014
50,0.80378
51,0.9746100000000001
52,0.90536
53,1.0007
54,1.0003
55,0.86441
56,0.99949
57,0.9986
58,0.87139
59,0.9998
60,0.8462200000000001
61,0.83
62,1.0004
63,0.8304
64,1.0004
65,0.8476
66,0.80866
67,1.0018
68,0.83795
69,0.9988100000000001
70,0.9992200000000001
71,1.0008
72,1.0001
73,0.9999299999999999
74,0.94379
75,0.92368
76,0.77981
77,0.9997
78,1.0005
79,0.9990100000000001
80,0.84336
81,0.82619
82,0.93334
83,0.83078
84,0.7702100000000001
85,1.0007
86,0.99997
87,0.82888
88,0.9991399999999999
89,0.81072
90,1.0017
91,0.8819299999999999
92,0.78042
93,0.89076
94,1.0006
95,0.99823
96,0.87756
97,0.99924
98,1.0008
99,0.85874
100,0.9989
101,0.9265700000000001
102,0.9990899999999999
103,1.0013
104,0.9985
105,0.84075
106,0.9999399999999999
107,0.8395799999999999
108,0.99828
109,0.88246
110,1.0021
111,0.8853
112,1.0003
113,1.0008
114,1.0
115,0.8960299999999999
116,0.80329
117,0.92663
118,0.88861
119,0.8042600000000001
120,0.8857299999999999
121,0.90591
122,1.0008
123,0.85536
124,0.99755
125,0.81276
126,0.92401
127,0.8902
128,0.77703
129,1.0004
130,0.88933
131,0.80933
132,0.8803
133,0.84396
134,1.0011
135,1.0178
136,0.8734799999999999
137,1.001
138,0.9034700000000001
139,0.8145100000000001
140,0.9600299999999999
141,0.99989
