,label
0,2
1,2
2,5
3,0
4,5
5,5
6,0
7,3
8,1
9,0
10,0
11,5
12,2
13,4
14,0
15,0
16,2
17,0
18,0
19,4
20,0
21,4
22,1
23,3
24,6
25,5
26,4
27,3
28,5
29,0
30,6
31,1
32,1
33,0
34,0
35,0
36,0
37,6
38,6
39,3
40,1
41,0
42,5
43,2
44,0
45,2
46,3
47,0
48,0
49,0
50,0
51,0
52,3
53,0
54,1
55,0
56,3
57,3
58,1
59,0
60,2
61,5
62,6
63,5
64,0
65,2
66,0
67,0
68,0
69,3
70,0
71,0
72,1
73,0
74,6
75,1
76,6
77,1
78,2
79,2
80,0
81,3
82,2
83,6
84,5
85,0
86,1
87,0
88,0
89,5
90,6
91,6
92,0
93,3
94,2
95,4
96,6
97,4
98,0
99,0
100,0
101,6
102,0
103,1
104,0
105,0
106,0
107,2
108,5
109,5
110,4
111,0
112,0
113,2
114,6
115,1
116,1
117,0
118,1
119,5
120,3
121,0
122,1
123,4
124,3
125,6
126,0
127,2
128,2
129,1
130,6
131,6
132,0
133,0
134,4
135,2
136,0
137,6
138,0
139,4
140,0
141,0
142,1
143,0
144,0
145,2
146,6
147,0
148,5
149,2
150,0
151,0
152,1
153,5
154,0
155,5
156,5
157,0
158,5
159,4
160,0
161,0
162,1
163,5
164,6
165,3
166,4
167,0
168,6
169,0
170,1
171,1
172,5
173,0
174,0
175,4
176,0
177,5
178,0
179,0
180,5
181,3
182,1
183,0
184,6
185,0
186,1
187,3
188,1
189,5
190,0
191,2
192,0
193,0
194,1
195,1
196,0
197,5
198,3
199,5
200,0
201,0
202,1
203,0
204,2
205,5
206,0
207,3
208,5
209,0
210,0
211,0
212,0
213,6
214,0
215,1
216,0
217,4
218,0
219,4
220,6
221,1
222,3
223,6
224,6
225,1
226,0
227,0
228,0
229,4
230,3
231,1
232,1
233,1
234,6
235,0
236,3
237,0
238,6
239,3
240,4
241,0
242,4
243,0
244,0
245,3
246,4
247,0
248,2
249,4
250,1
251,4
252,6
253,0
254,0
255,3
256,0
257,0
258,2
259,6
260,0
261,0
262,0
263,0
264,2
265,0
266,3
267,0
268,0
269,6
270,1
271,3
272,0
273,3
274,0
275,4
276,3
277,0
278,6
279,1
280,5
281,5
282,5
283,0
284,3
285,0
286,5
287,6
288,5
289,0
290,0
291,0
292,5
293,2
294,0
295,0
296,3
297,0
298,0
299,0
300,2
301,0
302,0
303,1
304,2
305,0
306,0
307,6
308,2
309,5
310,3
311,0
312,1
313,0
314,3
315,2
316,1
317,3
318,1
319,0
320,2
321,3
322,3
323,0
324,5
325,3
326,1
327,6
328,6
329,3
330,0
331,0
332,0
333,6
334,5
335,0
336,6
337,6
338,6
339,3
340,3
341,0
342,0
343,5
344,6
345,2
346,0
347,2
348,0
349,0
350,2
351,0
352,3
353,0
354,0
355,0
356,6
357,4
358,4
359,1
360,4
361,0
362,1
363,0
364,3
365,0
366,2
367,3
368,0
369,4
370,4
371,3
372,5
373,4
374,0
375,0
376,4
377,4
378,5
379,4
380,5
381,3
382,2
383,5
384,0
385,4
386,0
387,3
388,1
389,0
390,3
391,3
392,0
393,0
394,6
395,5
396,1
397,6
398,4
399,3
400,2
401,0
402,3
403,0
404,0
405,1
406,6
407,5
408,4
409,0
410,0
411,2
412,0
413,4
414,0
415,0
416,5
417,6
418,0
419,2
420,0
421,5
422,0
423,1
424,5
425,5
426,6
427,0
428,3
429,0
430,0
431,0
432,0
433,6
434,0
435,0
436,0
437,0
438,4
439,0
440,0
441,1
442,3
443,5
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,3
453,4
454,4
455,6
456,1
457,0
458,0
459,6
460,6
461,0
462,0
463,6
464,2
465,0
466,1
467,3
468,4
469,0
470,0
471,2
472,4
473,0
474,0
475,1
476,2
477,0
478,2
479,4
480,2
481,0
482,4
483,4
484,6
485,6
486,5
487,5
488,5
489,3
490,0
491,4
492,4
493,0
494,5
495,4
496,1
497,1
498,4
499,0
500,6
501,6
502,1
503,0
504,5
505,2
506,0
507,1
508,0
509,0
510,1
511,4
512,3
513,1
514,0
515,4
516,1
517,0
518,6
519,5
520,0
521,1
522,6
523,3
524,0
525,0
526,0
527,5
528,0
529,0
530,1
531,0
532,5
533,0
534,3
535,5
536,3
537,4
538,3
539,0
540,0
541,0
542,1
543,3
544,2
545,1
546,0
