,label
0,2
1,5
2,0
3,6
4,0
5,0
6,1
7,0
8,5
9,0
10,0
11,1
12,0
13,4
14,0
15,0
16,6
17,0
18,5
19,6
20,0
21,5
22,6
23,1
24,6
25,2
26,6
27,0
28,0
29,0
30,0
31,6
32,0
33,4
34,6
35,0
36,0
37,2
38,0
39,4
40,2
41,4
42,0
43,2
44,0
45,4
46,2
47,0
48,0
49,0
50,5
51,4
52,0
53,0
54,4
55,6
56,2
57,0
58,0
59,0
60,5
61,0
62,5
63,0
64,1
65,6
66,0
67,0
68,5
69,0
70,4
71,1
72,0
73,2
74,0
75,2
76,6
77,0
78,0
79,3
80,2
81,4
82,4
83,0
84,0
85,0
86,4
87,1
88,1
89,3
90,5
91,0
92,5
93,6
94,5
95,0
96,0
97,0
98,1
99,1
100,2
101,5
102,0
103,1
104,6
105,1
106,1
107,2
108,0
109,0
110,4
111,0
112,0
113,1
114,0
115,6
116,6
117,0
118,3
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,4
127,0
128,0
129,2
130,4
131,0
132,0
133,6
134,2
135,4
136,1
137,0
138,1
139,0
140,3
141,1
142,0
143,2
144,2
145,2
146,0
147,0
148,0
149,0
150,3
151,0
152,3
153,3
154,6
155,0
156,4
157,0
158,0
159,0
160,0
161,0
162,4
163,2
164,6
165,1
166,0
167,0
168,0
169,0
170,0
171,2
172,0
173,2
174,3
175,4
176,3
177,0
178,0
179,0
180,4
181,1
182,1
183,0
184,6
185,2
186,2
187,2
188,2
189,0
190,0
191,1
192,0
193,0
194,0
195,5
196,4
197,1
198,2
199,2
200,0
201,0
202,1
203,5
204,5
205,0
206,0
207,0
208,3
209,6
210,1
211,6
212,5
213,0
214,6
215,0
216,0
217,5
218,3
219,2
220,4
221,5
222,4
223,0
224,0
225,0
226,6
227,0
228,1
229,1
230,6
231,0
232,6
233,0
234,0
235,0
236,4
237,4
238,0
239,6
240,0
241,0
242,4
243,2
244,1
245,0
246,2
247,0
248,0
249,6
250,0
251,4
252,0
253,0
254,1
255,0
256,0
257,5
258,0
259,0
260,3
261,2
262,3
263,0
264,1
265,0
266,0
267,3
268,0
269,0
270,0
271,0
272,3
273,5
274,1
275,4
276,1
277,0
278,6
279,3
280,2
281,0
282,4
283,6
284,0
285,6
286,3
287,0
288,0
289,0
290,3
291,4
292,6
293,5
294,5
295,0
296,0
297,4
298,6
299,3
300,5
301,2
302,4
303,0
304,6
